sample,spread_bucket,model,target_train_signal_fraction,entry_latency_us,shares,filled_round_trips,filled_test_dates,quoted_round_trip_mean_bps,cluster_standard_error_bps,pointwise_lower_95_bps,pointwise_upper_95_bps,simultaneous_lower_95_bps,simultaneous_upper_95_bps,familywise_adjusted_p_value,inference_status
price_spell_round_trips,all_spreads,queue,0.1,1000,100,139148,51,-5.50439974024228,0.1963990349475642,-5.891921548702193,-5.124468608599257,-6.098642225474804,-4.910157255009756,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.1,1000,500,3191,51,-5.17219356393147,0.26859276528844084,-5.723607414307936,-4.70840602567709,-5.984871856383835,-4.359515271479104,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.1,10000,1,210377,51,-3.9878708454291405,0.1533246589601413,-4.294261055689722,-3.695740556930255,-4.451783646284955,-3.523958044573326,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.1,10000,100,109286,51,-5.287477885165879,0.18755569906188455,-5.653881149345807,-4.920892462759696,-5.8549631824323045,-4.719992587899454,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.1,10000,500,2597,51,-4.974282820535029,0.24942764336292628,-5.501510277506244,-4.54061204528179,-5.728973406042487,-4.219592235027571,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.2,0,1,549682,51,-4.006961519069785,0.1612051311959448,-4.3350431165073555,-3.7012947646804704,-4.4947181815181985,-3.5192048566213714,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.2,0,100,266014,51,-5.423442891651011,0.19702507996656257,-5.811745462862354,-5.043704289075366,-6.019579594683823,-4.827306188618199,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.2,0,500,5914,51,-5.148722096091121,0.24379758396798365,-5.647152596252968,-4.708475318207128,-5.886377870364651,-4.411066321817591,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.2,10,1,544151,51,-4.01850951337898,0.16151689100983138,-4.347161588093346,-3.7124484506830018,-4.507209464202762,-3.529809562555198,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.2,10,100,263877,51,-5.4323497592562475,0.19716574569771506,-5.820744961324269,-5.0522667010541875,-6.028912073105779,-4.835787445406716,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.2,10,500,5861,51,-5.1605528120911375,0.24647814673431157,-5.664135970267072,-4.716741442770824,-5.906319136808613,-4.414786487373662,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.2,100,1,513320,51,-4.069786884697389,0.1626725892051674,-4.399374605921966,-3.761574332246895,-4.561983619341715,-3.5775901500530622,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.2,100,100,252074,51,-5.465191800021813,0.19776863740037115,-5.8548948435230335,-5.08665813963427,-6.0635782769269735,-4.866805323116653,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.2,100,500,5569,51,-5.191633862795827,0.2434787127477093,-5.690468561234492,-4.754315865694934,-5.928324831786807,-4.454942893804847,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.2,1000,1,402311,51,-4.117242386886152,0.1601029078161925,-4.440457706230079,-3.811948047339551,-4.601664063698611,-3.632820710073692,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.2,1000,100,204051,51,-5.4521580180815645,0.19317841783578923,-5.832983542150977,-5.082735133484983,-6.036655916142392,-4.867660120020737,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.2,1000,500,4588,51,-5.215845114146011,0.2466076181406647,-5.723437031098178,-4.773117548154347,-5.962003179129921,-4.469687049162101,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.2,10000,1,308832,51,-3.9639330447268004,0.152178314966469,-4.272230851629281,-3.6758012748497486,-4.4243773646712246,-3.5034887247823767,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.2,10000,100,159552,51,-5.237967422664811,0.18428990902083314,-5.600408184372409,-4.881504514866317,-5.795571453504647,-4.680363391824975,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.2,10000,500,3722,51,-5.0421485447756265,0.23175648318928357,-5.524829669435043,-4.626742137925799,-5.7433716876282315,-4.3409254019230215,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,1.0,0,1,2198301,51,-4.3199720217100985,0.17720863660928662,-4.671264285151547,-3.984701882043652,-4.856150321422644,-3.7837937219975535,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,1.0,0,100,1336595,51,-5.386655538627127,0.19430579556177388,-5.765536699828354,-5.009544070072126,-5.974564531563567,-4.798746545690687,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,1.0,0,500,22971,51,-5.420893536699857,0.21829001711873383,-5.84113388066917,-5.0051551181676555,-6.081371335425901,-4.760415737973814,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,1.0,10,1,2175478,51,-4.33233899868796,0.17734477569475743,-4.683976782524324,-3.996778670939447,-4.868929212993207,-3.795748784382713,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,1.0,10,100,1326124,51,-5.394149804560589,0.19420521980924693,-5.7726397029761936,-5.017012110004246,-5.981754486505116,-4.806545122616063,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,1.0,10,500,22801,51,-5.424865860918354,0.21835618568117413,-5.845854946487606,-5.010206221802632,-6.085543865164752,-4.764187856671956,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,1.0,100,1,2044491,51,-4.3863740769686785,0.17873454141330808,-4.739832388689222,-4.048475348905603,-4.927169290726713,-3.845578863210644,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,1.0,100,100,1262321,51,-5.424620960389809,0.19499306156927487,-5.804825650620893,-5.046954462242083,-6.014609406824695,-4.834632513954922,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,1.0,100,500,21877,51,-5.45739373197604,0.21817309930721102,-5.8787711291805556,-5.043723227695617,-6.1175177737149085,-4.797269690237172,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,1.0,1000,1,1564677,51,-4.455876229184039,0.1768285632987436,-4.806380562796653,-4.123025524536846,-4.990904545096063,-3.9208479132720147,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,1.0,1000,100,995240,51,-5.435264568808932,0.1912564205901556,-5.808599834912926,-5.065400993261777,-6.013947100108103,-4.85658203750976,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,1.0,1000,500,18126,51,-5.50050908734832,0.2209808698810673,-5.925998866227572,-5.0801786191223295,-6.169128570850517,-4.831889603846123,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,1.0,10000,1,1176470,51,-4.286368956106808,0.1682129402657854,-4.6207694524691405,-3.968965442666052,-4.795329072425599,-3.777408839788018,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,1.0,10000,100,753822,51,-5.228914428746193,0.18292054544318573,-5.585662021659793,-4.875291305330979,-5.782375190675439,-4.675453666816947,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,1.0,10000,500,14547,51,-5.320448571738179,0.21025577863621528,-5.725087042214579,-4.915048853314994,-5.956617259963363,-4.684279883512995,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue_and_ofi,0.05,0,1,84864,51,-3.480259032061635,0.14995422948266793,-3.779469707863496,-3.2006895563766418,-3.933973960053515,-3.026544104069755,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue_and_ofi,0.05,0,100,39934,51,-4.735699650117921,0.2007403444938046,-5.124050415534734,-4.345492570309959,-5.343077589781829,-4.128321710454013,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue_and_ofi,0.05,0,500,479,51,-4.559985699526839,0.21439843976323775,-4.983159883975492,-4.133269140204591,-5.208688793759951,-3.9112826052937275,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue_and_ofi,0.05,10,1,82367,51,-3.5155160156525724,0.15166246582414902,-3.818697963153074,-3.232526374992494,-3.9743995362966373,-3.0566324950085075,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue_and_ofi,0.05,10,100,39027,51,-4.760124390085337,0.20093531558238154,-5.14997602778983,-4.369142371682754,-5.368092251712229,-4.152156528458445,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue_and_ofi,0.05,10,500,471,51,-4.573408035624811,0.21177284590582215,-4.9904921017575,-4.150383975673565,-5.214166898260968,-3.9326491729886546,9.999000099990002e-05,estimable
